STATE_FIPS,geo_id,name,,white,black,amerind_aknat,asian,nathaw_otherpacis,other,hispanic,,totpop,white1,black1,amerind_aknat1,asian1,nathaw_otherpacis1,other1,hispanic1
46,0400000US46,South Dakota,,84.27,2.01,8.75,1.45,0.06,0.83,3.79,,870638,733719,17531,76190,12627,504,7230,33024
47,0400000US47,Tennessee,,77.58,16.76,0.27,1.75,0.06,1.38,5.43,,6709356,5205132,1124473,18189,117600,3771,92655,364174
48,0400000US48,Texas,,73.97,12.13,0.5,4.8,0.09,5.82,39.34,,28260856,20903375,3428211,141425,1357273,25292,1643869,11116881
49,0400000US49,Utah,,86.43,1.19,1.09,2.32,0.89,5.04,14.04,,3096848,2676482,36849,33721,71977,27554,156229,434832
50,0400000US50,Vermont,,94.16,1.36,0.34,1.68,0.05,0.39,1.93,,624313,587883,8502,2132,10461,325,2410,12038
51,0400000US51,Virginia,,67.63,19.18,0.28,6.4,0.07,2.65,9.37,,8454463,5717617,1621592,23873,541133,6179,223794,792001
53,0400000US53,Washington,,75.38,3.8,1.28,8.53,0.66,4.5,12.66,,7404107,5581128,281683,94449,631333,49090,333038,937579
54,0400000US54,West Virginia,,93.08,3.69,0.2,0.8,0.02,0.44,1.56,,1817305,1691600,66990,3667,14523,419,7971,28368
55,0400000US55,Wisconsin,,85.43,6.41,0.89,2.79,0.04,2.04,6.81,,5790716,4946961,371200,51392,161841,2400,118350,394392
56,0400000US56,Wyoming,,91.44,0.96,2.44,0.86,0.1,1.52,9.87,,581024,531304,5582,14164,5025,596,8832,57341
